name,20210127
Ivan B,11955
Chopi`s,20725
The Blues Brothers,20878
Álvaro Soler,14967
Ludwig van Beethoven,10999
The Magic Orchestra ,4496
Coldplay,51932
London Symphony Orchestra,1692
Avicii,167351
RoyishGoodLooks,5562
Felix Jaehn,8293
Wolfgang Amadeus Mozart,29723
Nico & Vinz,8231
Martin Garrix,4214
Maroon 5,102189
Justin Bieber,294539
Enrique Iglesias ,6497
Goran Bregović feat. Eugene Hütz,4251
Armand Amar,8503
Big Time Rush,17729
"Calvin Harris, John Newman",18646
Taylor Swift,31871
Cazzette,15485
Run The Jewels,5035
BTR,6864
Ariana Grande,42678
Ellie Goulding,39164
Gianni Morandi,7793
The Weeknd,33335
"Shakira, Rihanna",9058
Georges Bizet,4439
Sia,54532
Faul & wad,8746
OMI,9081
Luca Carboni,13460
Modà,6745
Alesso,22478
OneRepublic,22744
Lindsey Stirling,10434
"PSY, CL",8330
"Jennifer Lopez, Pitbull",9882
"David Guetta, Sam Martin",12000
Katy Perry,80950
Richard Wagner,6395
Ke$ha,15436
"DJ Antoine, Pitbull",6908
Milky Chance,14218
One Direction,14764
John Williams,22810
"Enrique Iglesias, Nick Jam",8493
Julius Fučík,4142
Maître Gims,21150
Fabrizio De André,93862
Alan Walker,109019
Kygo,49089
Cee Lo Green,8651
Victoria Justice,17231
PSY,5827
Sheppard,8263
"Daft Punk, Pharell Williams",5664
Madonna,10513
Mika,9772
Marco Mengoni,21280
883,20093
Pharrell Williams,6669
Adele,65924
Skeie,5807
Ed Sheeran,28706
AronChupa,11502
Eiffel 65,12943
Sam Smith,49701
Miranda Cosgroove,12178
Ennio Morricone,3918
Fiorella Mannoia,6349
Nicola di Bari,5776
Tiziano Ferro,14614
I Nomadi,4795
Nick Jonas,11347
Guns N' Roses,1708
Fedez,56189
Shakira,8129
"Major Lazer, DJ Snake, MØ",9658
Fool's Garden,7329
Passenger,10928
Dime Def,5611
JAS,2817
Major Lazer,3841
Cris Cab,8387
The Beatles,68043
"Fedez, Francesca Michielin",7871
"Charlie Puth, Meghan Trainor",12745
Meg & Dia,8923
Justin Timberlake,33956
Alexandra Stan,5989
Rocco Hunt,24076
Offenbach,5800
Gemitaiz,62049
Joan Osborne,14399
Kanye West,32600
Frankie hi-nrg mc,5481
Dominik Hauser,5172
"Lilly Wood, The Prick, Robin Schulz",11991
Daddy's Groove,4124
"Clean Bandit, Jess Glynne",11487
X Ambassadors,12796
Yiruma,6724
The Rolling Stones,40869
Baby K,15678
"Wiz Khalifa, Charlie Puth",12105
Cesare Cremonini,6373
"Alexander Star, Toi",7942
Toni Braxton,5924
"Mika, Chiara",7868
Stephen Marley,15063
Shawn Mendes,45948
Twenty One Pilots,57484
Robin Schulz,9953
Calvin Harris,14285
Hozier,12038
"James Newton Howard, Jennifer Lawrence",4734
"Western Disco, Luna",4324
"Pitbull, Kesha",15836
"Macklemore, Ryan Lewis",66362
Pink,17182
"Contiez, Treyy G",8060
Olly Murs feat. Demi Lovato,15738
"Bruno Mars, Mark Ronson",12625
Flo Rida,19716
TheFatRat,186412
Fabio Rovazzi,15461
"Mika, Fedez",7372
Carly Rae Jepsen,10366
R.E.M.,15015
Two Steps from Hell,51580
Snitecs,37986
David Bowie,28956
Audiomachine,15332
"Rihanna, Drake",14529
Green Day,17547
"PewDiePie, Roomie",9712
Reaktor Productions,7172
"Enrique Iglesias, Wisin",11730
Miley Cyrus,50138
John Legend,13521
"LMFAO, Lauren Bennett, GoonRock",18399
Soprano,26784
Galantis,15146
Imagine Dragons,190130
"Sia, Sean Paul",24078
Mike Posner,10863
"Major Lazer, Justin Bieber & MØ",30228
Jennifer Lopez,21913
"Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors",26201
Bastille,48391
MØ,30016
DJ Snake feat. Justin Bieber,26682
"Skrillex, Diplo, Justin Bieber",18596
Ministaller,3729
"Naughty Boy, Sam Smith",5852
JJD,8334
Sportfreunde Stiller,5073
"The Weeknd, Daft Punk",7382
Eminem feat. Rihanna,29818
Fifth Harmony ,7419
Train,15847
Outasight ,6016
Queen,58405
"Justin Bieber, Chance the Rapper",9481
Bars and Melody,18299
DNCE,25587
Elle King,23106
Jasmine Thompson,6743
LowLow,6028
The Score,185485
Axwell Λ Ingrosso,63528
"J-AX, Il Cile",8810
LP,28366
Parov Stelar,23882
Zaza,7920
The Script,37051
Skrillex,22854
Fall Out Boy,60992
WALK THE MOON,17730
Gigi d'Agostino,24207
Nause,14860
The Black Eyed Peas ,16315
Taio Cruz,9761
Hans Zimmer,31006
"Timmy Trumpet, Savage ",7095
"Alok, Bruno Martini, Zeeba",7932
Biagio Antonacci,8414
Big Gigantic feat Angela McCluskey,21173
Daniele Silvestri,12049
Enrico Papi,8479
Fabri Fibra,17258
Ghali,41543
Harry Styles,18090
J-Ax & Fedez,52026
"Luis Fonsi, Daddy Yankee",13792
Marian Hill,7898
"Shakira, Maluma",6174
Starley,14418
"The Chainsmokers, Halsey",8378
"DNCE, Nicki Minaj",23347
"Fabio Rovazzi, Gianni Morandi",11474
"Fabri Fibra, Thegiornalisti",32564
Iggy Pop,8484
"The Chainsmokers, Coldplay",33601
"Felix Jaehn, Hight, Alex Aiono",12299
"Jason Derulo, Nicki Minaj, Ty Dolla $ign",14333
"Luis Fonsi, Daddy Yankee, Justin Bieber",8011
Salmo,90506
"Zedd, Alessia Cara",10824
"Ariana Grande, Nicki Minaj",15420
Bruno Mars,24874
"Calvin Harris, Rihanna",4541
"Charlie Puth, Selenza Gomez",8524
"Clean Bandit, Sean Paul, Anne-Marie",21068
"Clean Bandit, Zara Larsson",17285
"David Guetta, Justin Bieber",2915
"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",4827
James Arthur,18015
"Jason Derulo, Snoop Dogg",7160
Magic! ,3832
"Martin Garrix, Bebe Rexha",3280
"Martin Garrix, Dua Lipa",5523
Meghan Trainor,2468
Rag’n’Bone Man,11497
"Robin Schulz, James Blunt",11231
Selena Gomez,15300
"The Chainsmokers, Daya",9147
The Chainsmokers,15985
Deorro,17446
"Lemaitre, Jennie A.",7959
"Ben Dj, Eon Melka",12435
Camila Cabello,25969
Desiigner,11382
Future,13315
"Jax Jones, RAYE",7600
"Machine Gun Kelly, Camila Cabello",17660
"Amedeo Preziosi, Riccardo Dose, Awed",12909
"Sean Paul, Due Lipa",11654
E-Dubble,113811
Gotye,10003
C-Jon,7869
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",8668
Pegboard Nerds,5322
Markoolio,6223
Approaching Nirvana,22244
Richard Galliano & Tangaria Quartet,9997
Sean & Bobo,8035
Il Pagante,53424
Eminem,81444
Linkin Park,25819
Adam Lambert,17499
Charlie Puth,46714
Benji & Fede feat. Annalisa,10047
Caparezza,9506
Shade,29337
AnnenMayKantereit,12484
Capital Cities,10051
"Emis Killa, J-AX",20357
Herbert Pixner Projekt,6853
"Jake La Furia, Alessio La Profunda Melodia",13721
Jake la Furia,14177
JP Cooper,8266
MagnusTheMagnus,8491
"Merk, Kremont",9932
"OneRepublic, SeeB",28581
Alessia Cara,10619
Avicii feat. Sandro Cavazza,11373
Biting Elbows,17799
"Enrique Iglesias, Descemer Bueno, Zion, Lennox",7673
Little Big,1752
Rihanna,20424
Zwirek,3237
Deaf Kev,5460
"Fransis Derelle, Parker Pohill",6697
The Phantoms,59916
"B.o.B, Hayley Williams of Paramore",14193
John Newman,15515
Lucio Battisti,15666
Smash Mouth,7654
Sofi Tukker,6436
Stromae,60133
"Camila Cabello, Young Thug",12482
"Dr. Dre, Snoop Dogg",11650
Emis Killa,8274
"Snoop Dogg, Wiz Khalifa, Bruno Mars",7464
Vitas,14710
Avicii feat. Rita Ora,7555
"Felix Jaehn feat. Hearts & Colors, Adam Trigger",7580
"Selena Gomez, Marshmello",8908
AJR,57362
Annalisa,27260
"Blu Cantrell, Sean Paul",7334
Dua Lipa,12352
GASHI,7832
marshmello,6981
"Ofenbach, Nick Waterhouse",8962
Big Wild,4131
Haley Reinhart,6067
Indila,25042
Duck Sauce,8562
"Swedish House Mafia, John Martin",22436
"Calvin Harris, Katy Perry, Pharrell Williams, Big Sean",11353
Macklemore feat. Skylar Grey,12952
Gabry Ponte,15710
Syn Cole,8190
Nina Simone,9917
"Lost Frequencies, Janieck Devy",1743
TwinkieMan,6503
NSYNC (Justin Timberlake),5088
"Maroon 5, Wiz Khalifa",6634
DVBBS,13985
Ylvis,6520
Rudimental feat. John Newman & Alex Clare,3936
Drake,25044
Austin Mahone feat. Pitbull,13582
AWOLNATION,14357
Avril Lavigne,3523
Panic! At The Disco,31928
DMX,11333
"Owl City, Carly Rae Jepsen",5809
Niels Brinck,4376
"David Guetta, Afrojack, Charli XCX, French Montana",6925
Men at Work,7977
"Jason Derulo, French Montana",13248
Tom Walker,6872
Mudimbi,8719
Alesso & Anitta,6737
Dennis Lloyd,8995
Benji & Fede,8398
Yann Tiersen,20167
Mr.Rain,7916
Ben Folds Five,59426
Jeff Beck,6463
Andy Grammer,13595
David Guetta feat. Sia,6375
Jetta,10259
Post Malone feat. 21 Savage,11607
EH!DE & Different Heaven,10146
ItaloBrothers,14949
Sfera Ebbasta,25019
CaneSecco,15129
Dark Polo Gang,11396
Deorro × Chris Brown,11617
Ben Cocks,9212
Paul Simon feat. Jerry Douglas,8372
The Strokes,7901
Mychael Danna,6648
Noa,8778
Thirty Seconds to Mars,12513
Måneskin,8369
Dvořák,9217
Tchaikovsky,89512
Erik Satie,27372
Klemen Slakonja,14490
Lucinda Williams,4021
Dire Straits,2586
John Cena & Tha Trademarc,1964
Tomsize,14808
Noyz Narcos,10622
Betta Lemme,29822
Daprinski feat. Shan Jiang,19330
Gym Class Heroes feat. Adam Levine,17120
Tove Lo,17274
Axel Thesleff,20403
Kevin Rudolf,10228
Kaleo,11132
Macklemore feat. Lil Yachty,20991
The XX,9093
NONONO,12317
"Skrillex, Damian Marley",11134
"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",16932
Adam Jensen,78200
Fort Minor ft. Styles of Beyond,13270
Amy Macdonald,9213
Adriano Celentano,26622
Redbone,11337
Nora En Pure,12174
Rob $tone feat. J. Davi$ & Spooks,8937
Yuki Kajiura,47726
The Monkees,9900
Van Halen,10610
Linked Horizon,32195
Bazzi,34648
BRADIO,3455
AmaLee,10277
The Overtones,10460
Cat Trumpet,7838
Cö Shu Nie,8085
Geek Senpai,4998
XX:me,39443
Tujamo,5086
Aero Chord,19861
Thousand Foot Krutch,9729
Bebe Rexha,29517
XXXTENTACION,5495
Akon,5177
Mamas & Papas,6297
Olly Murs feat. Flo Rida,13284
Rixton,12295
Sheet Music Boss,81463
Absolute,15187
SIAMÉS,45673
NightcoreZodiac,3488
Bohnes,6172
Sam Tinnesz,43580
Pimpadelic,19812
Peter Laughner,11686
Icona Pop,4499
Hailee Steinfeld & Grey feat. Zedd,3877
"David Guetta, Cedric Gervais & Chris Willis",5694
Ben Howard,3940
Franco Cleopatra,5701
Zach Sobiech,2509
Madcon feat. Ray Dalton,7159
Bob Dylan,2315
MIKA,5172
Alvaro Soler,14393
Paolo Nutini,6925
Calvin Harris feat. Ellie Goulding,7485
The Doors,2120
Fleetwood Mac,4253
Giuliano Palma,7015
Jovanotti,4253
Shakira feat. Rihanna,2470
Peter Gabriel,11110
Family of the Year,1966
The Housemartins,37808
The Police,18318
Negrita,12347
DJ Shadow feat. Run the Jewels,5573
Against The Current,23267
Dovahkiin,5893
R3HAB x Mike Williams,9708
Hiroyuki Sawano,15810
Willy William,19210
"Calvin Harris, Dua Lipa",3122
Allie X,17276
Cascada,21664
CL,9453
Dash Berlin & DBSTF,14998
"David Guetta, Martin Garrix",4456
Halsey,33489
Hoaprox,5315
Rezz x Fytch,10577
Sickick,84428
Skip The Use,10108
Tiësto & Dzeko ft. Preme & Post Malone,11908
Unlike Pluto,109425
Varus,12777
Zedd & Elley Duhé,7244
Steve Jablonsky,11771
Kisma,10198
5 Seconds Of Summer,17247
Jonas Blue,11370
"Post Malone, Ty Dolla $ign",9511
Boomdabash feat. Loredana Bertè,9106
Abba,15382
Tatsuya Kato,7361
Spektrem,11138
Cartoon - Daniel Lévi,9564
Piotta feat. Il Muro Del Canto,13392
Why Don't We,19327
O-Zone,8593
Skioffi,21315
John Lee Hooker & Carlos Santana,2007
"Clean Bandit, Demi Lovato",5580
Ricchi e Poveri,2088
"The Glitch Mob, Mako and The Word",14075
Dj Matrix vs Matt Joe,5524
Sim Gretina,7290
Marshmello & Anne-Marie,16849
Dj Matrix,13473
"DJ Snake, Lil Jon",1512
Fun.,4035
Jason Derulo,23298
Of Monsters And Men,14486
Robin Thicke,4348
Julia Michaels,5110
Pitbull,3942
Lost Frequencies,2996
Lorde,2400
Mike Perry,9024
G-Eazy x Bebe Rexha,8017
Caesars Palace,3949
Akira Senjū,43683
Manfred Mann's Earth Band,5143
Paolo Conte,9904
Sabaton,8588
Manian,8465
mekoto meku,9939
TheDJNightcore,9100
happyxhardcorexx ,6989
Caravan Palace,51419
Kiesza,4788
Lost Frequencies ft James Blunt,5537
Nico Rota,6080
Shaed,15091
Guè Pequeno,10931
"David Guetta ft Flo Rida, Nicki Minaj",9038
Caro Emerald,6148
Růde,45497
Faber,13890
Papa Roach,11601
Hosoya Yoshimasa,8987
Ryō Takahashi,8370
The Turtles,6576
The Living Tombstone,18997
Andrea Bocelli,8139
Shirō Sagisu,7023
Leon Bridges,3803
Amy B,8401
"Taku Matsushiba, Jin Oki",7327
Premiata Forneria Marconi,9994
Mia Martini,7929
Mercedes Band,14189
Lucio Dalla,13293
Leonard Cohen,4582
Ultimo,3678
Rino Gaetano,26930
Bonnie Brae,9209
Badpojken,12051
Adam Avant,22800
Dmitri Shostakovich,14954
Antonio Vivaldi,7737
Mäneskin,10108
Eurythmics,6419
Dick Dale,4088
Lynyrd Skynyrd,7202
Bonnie Tyler,6646
Boston,6853
Donna Summer,6628
George Harrison,7301
Capone,5834
Danny McCarthy,15501
Grits,10735
Cash Cash,7604
Robbie Williams,7095
The Anime Boiis,4769
Electric Light Orchestra,19034
Shivaree,8060
Lykke Li,7655
Kensuke Ushio,9623
Marcella Bella,4591
Mina,6141
Claudio Baglioni,24318
Alice,8595
Demis Roussos,5822
Vance Joy,10200
Yolanda Be Cool & DCUP,5064
Lemaitre,19870
Halestorm,7961
Coolio,9892
Amy Winehouse,44417
Stephen,11399
Riberuta リベルタ,10335
Ludovico Einaudi,60859
"Wiz Khalifa, Ludacris",24214
Luke Faulkner,9392
Natsumi Kiyoura,19998
Francesco Gabbani,7180
Toto Cotugno,9593
The Buggles,11179
Ikimono Gakari,14304
Ashes Remain,24870
Noisestorm,4035
Jeanne Moreau,2380
King Gnu,57682
Eir Aoi,3704
Survive Said the Prophet,37222
Masatoshi Ono,5282
Welshly Arms,11320
Oh The Larceny,18738
The Animals,13273
Lyle Workman,8224
Makio,6369
Saint PHNX,21347
Immortal Technique,11449
Lil Dicky,7798
Familia Myth,13088
Michiru Oshima,39396
Sting & Shaggy,13320
Fitz and The Tantrums,11260
Malika Ayane,13297
All Good Things,19538
Getter Jaani,6474
Set It Off,21817
"Amedeo Preziosi, Gabry Ponte, Dj Matrix",9477
Zedd ft. Selena Gomez,3702
Howard Shore,2763
Ameko Kodama,7179
Prismo,14164
David Guetta,10708
Elderbrook,7977
"Earth, Wind & Fire",11630
FREDJI,9960
Saint-Saens,6110
Claude Debussy,26198
Chopin,14423
Faulkner,16821
Liszt,15972
Mozart,16462
Galuppi,5944
Costantini,2970
Sakamoto,7246
Corelli,5293
Telemann,3821
Barrière,1428
Stamitz,3536
Richard Jones,1655
Mozart / Liszt,1814
Schumann,1180
Nadeko Sengoku,4055
OMFG,10142
Eri Itoh,6886
Yuzu,4553
Kevin MacLeod,1060
Lukas Graham,10217
Yoshihiro Ike,16606
Neffex,30884
