song_id,song_name,artist_name,album_name,date_added,track_path,play_count,duration,cloud_status,is_favorited,hash
10404,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",A$AP Rocky,,2024-01-22,"/Users/alex/Music/Musica/Music/A$AP Rocky/Unknown Album/02 A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi).mp3",20,635,unknown,1,2de8857748ed248f591eca3b01f07201e65b166665f7888311431f31a5d6a145
6382,Next Level,A$TON WYLD,Fast & Furious Presents: Hobbs & Shaw Soundtrack,2020-11-20,/Users/alex/Music/Musica/Music/A$TON WYLD/Fast & Furious Presents_ Hobbs & Shaw Soundtrack/Next Level.mp3,81,137,unknown,0,9a5328e8e2a17fb038ed0201b41c01c4e1bebd9e209660928308b11d2c914774
8188,If I Got It (Your Love Brought It),Aaron Frazer,Introducing...,2021-07-14,/Users/alex/Music/Musica/Music/Aaron Frazer/Introducing.._/If I Got It (Your Love Brought It).mp3,41,174,unknown,1,fb460c3b6c45fdbd5c46fe8405c40d992777800b6c9ae4c2224e8bcc811b9334
5628,"Money, Money, Money",Abba,Arrival,2020-11-20,"/Users/alex/Music/Musica/Music/Abba/Arrival/Money, Money, Money.mp3",49,187,unknown,0,86fcc9a3f667afa086fbb99e3025bd8791abb636ab8e6b70d6a778469998da4e
6214,Gimme! Gimme! Gimme! (A Man After Midnight),Abba,Super Trouper,2020-11-20,/Users/alex/Music/Musica/Music/Abba/Super Trouper/Gimme! Gimme! Gimme! (A Man After Midnight).mp3,32,293,unknown,0,318abe9f6c47d8f2bee25b95aa5e084d35b0036cf0ca06fe93fad88cdcacfda2
9334,Lay All Your Love On Me,Abba,Super Trouper,2022-11-08,/Users/alex/Music/Musica/Music/Abba/Super Trouper/Lay All Your Love On Me.mp3,11,281,unknown,0,bf6e5850c3343ae2b678afb26a7c2944784f67a57e05be75d260e6104b22f6cf
5448,Turnin' Up,Absolute,,2020-11-20,/Users/alex/Music/Musica/Music/Absolute/Unknown Album/Turnin' Up.mp3,107,186,unknown,1,a41f6899ff8da929563651a1a8ed3e2761cde29d070d0e13531eb386742ac996
8276,I'm Good (feat. RoZe),Abstract,,2021-08-30,/Users/alex/Music/Musica/Music/Abstract/Unknown Album/I'm Good (feat. RoZe).mp3,27,213,unknown,1,0088124fdb011b6d4091231b5540398787a9935effa1c616d3d0bed3062a0fb0
5848,Money Talks,Adam Avant,,2020-11-20,/Users/alex/Music/Musica/Music/Adam Avant/Unknown Album/Money Talks.mp3,150,184,unknown,1,fe5a9e23293a6a0df275a43ad9d1d3159652c8afbf77fae76672ba99f9221d6b
6644,The Hunter,Adam Jensen,The Hunter,2020-11-20,/Users/alex/Music/Musica/Music/Adam Jensen/The Hunter/The Hunter.mp3,104,211,unknown,1,51c6fd04f6bb6001017c981d99869a09cda08945f7adff6bc5d9e202fe3df3e6
6996,Marijuana Breath,Adam Jensen,Marijuana Breath,2020-11-20,/Users/alex/Music/Musica/Music/Adam Jensen/Marijuana Breath/Marijuana Breath.mp3,70,219,unknown,1,eb9e00dd2f3c2f1717f09993feeca3630415b130ae828dd0f5bbb3c0debe2738
5374,The Mystic,Adam Jensen,The Mystic,2020-11-20,/Users/alex/Music/Musica/Music/Adam Jensen/The Mystic/The Mystic.mp3,197,190,unknown,1,f0704b9c9178eb988b3413fd6218d2994885ab8ef0f9b957d4972463fc78aea5
9762,New Bad Habit,Adam Jensen,New Bad Habit,2023-07-04,/Users/alex/Music/Musica/Music/Adam Jensen/New Bad Habit/01 New Bad Habit.mp3,27,126,unknown,0,5383c3670c88ba220cebe57a29864cda5d2d402f8af2303299f4bb70cdc00649
6102,Street Fight,Adam Jensen,Street Fight,2020-11-20,/Users/alex/Music/Musica/Music/Adam Jensen/Street Fight/Street Fight.mp3,182,191,unknown,1,2ca07167016a45d65f2cef544c042832eefe6452d900a510723b2e077714d2ec
9382,Yoko Oh No,Adam Jensen,Yoko Oh No,2022-11-29,/Users/alex/Music/Musica/Music/Adam Jensen/Yoko Oh No/Yoko Oh No.mp3,23,166,unknown,0,43c5d63968997b08c2595eba34746e7855b6e5a884a662733ba504236dc8e4e7
4992,Runnin',Adam Lambert,Trespassing,2020-11-20,/Users/alex/Music/Musica/Music/Adam Lambert/Trespassing/Runnin'.mp3,99,227,unknown,0,9d8f83f5bfba3745a933da5df174c0535931924f194181b8846f4f020e4cb4d7
9920,Tango,Adam North,Tango,2023-09-25,/Users/alex/Music/Musica/Music/Adam North/Tango/01 Tango.mp3,38,426,unknown,1,6edcef7b9d690e39d844bf5f9fba4c73a125227974f08eac955412fbda510bb1
4924,Skyfall,Adele,Skyfall Soundtrack,2020-11-20,/Users/alex/Music/Musica/Music/Adele/Skyfall Soundtrack/Skyfall.mp3,66,289,unknown,1,0bc16731172a168afcc4d863d0a1556fe4478fcf7743e8cfb0c545783dd2df27
4560,Rolling In The Deep,Adele,21,2020-11-20,/Users/alex/Music/Musica/Music/Adele/21/Rolling In The Deep.mp3,78,229,unknown,0,cc3f5c708e17193c84d0165dc938e631029401d9fd829089c1ca8dc8d3873827
4662,Set Fire to the Rain,Adele,21,2020-11-20,/Users/alex/Music/Musica/Music/Adele/21/Set Fire to the Rain.mp3,52,238,unknown,0,ba5486079bd795d7c9665dc2d52e3105f36d46c756facfb3e2d6e298b4f3bb2e
4688,Someone Like You,Adele,21,2020-11-20,/Users/alex/Music/Musica/Music/Adele/21/Someone Like You.mp3,56,285,unknown,0,b15d5ed2af22f643723a84cc3bfbbe6d139900e8922209c500f42f6460f8f665
4444,Hello,Adele,25,2020-11-20,/Users/alex/Music/Musica/Music/Adele/25/Hello.mp3,48,239,unknown,0,23ebc31a9d350ba91b36deffbd4991141d2b61612c4470fcdbd8b27111f62782
4658,Hello (Original),Adele,25,2020-11-20,/Users/alex/Music/Musica/Music/Adele/25/Hello (Original).mp3,21,293,unknown,1,1fbe3658b8c7e6795b294751b597de371dae95b11979f15089cca7940fc827c2
10970,Impala,Adèle Castillon,Plaisir Risque Dépendance,2024-11-23,/Users/alex/Music/Musica/Music/Adèle Castillon/Plaisir Risque Dépendance/08 Impala.mp3,10,137,unknown,1,5ef635f0ccefe1c8b7826e6c931550ee527fe277ccfa465982537cb188a9564a
9654,The Ballet Girl (Adagio),Aden Foyer,The Ballet Girl,2023-05-17,/Users/alex/Music/Musica/Music/Aden Foyer/The Ballet Girl/The Ballet Girl (Adagio).mp3,17,176,unknown,0,00c080dc3c97e1355d0e62fc591f7d4263582fb4012db2a8115b682084acfd8b
7908,First Date (feat. Hikaru Station),Adib Sin,First Date,2021-03-14,/Users/alex/Music/Musica/Music/Adib Sin/First Date/First Date (feat. Hikaru Station).mp3,29,147,unknown,0,158805fb20fb27c7abe67241fe7e546347581cf6fde55dc1ea81c145c18d9374
10902,新時代 New Genesis,Ado,Kyougen,2024-11-02,/Users/alex/Music/Musica/Music/Ado/Kyougen/02 新時代 New Genesis.mp3,5,225,unknown,0,5fcf90fceef4fa9012ed897f6d00ab7a0cd44a8355722267e30cfb8cc97044df
10492,Little Things,Adrián Berenguer,Immaterial,2024-02-13,/Users/alex/Music/Musica/Music/Adrián Berenguer/Immaterial/12 Little Things.mp3,17,369,unknown,0,72767cff46d6af77b6c862e825034d94712cccdefe914788601e794cc26df9af
5930,24000 Baci,Adriano Celentano,Adriano Live,2020-11-20,/Users/alex/Music/Musica/Music/Adriano Celentano/Adriano Live/24000 Baci.mp3,40,205,unknown,0,1acfb64b2abe700b8e16a8e4ee1042d6d9ff44ac8fe54354df90b0814f2dbf52
5380,Azzurro,Adriano Celentano,"Me, live!",2020-11-20,"/Users/alex/Music/Musica/Music/Adriano Celentano/Me, live!/Azzurro.mp3",64,222,unknown,0,323ffee17b7aa643e5fe50356875e30b748fd14f172e43ea573ee00c7a7e5794
5906,Il ragazzo della via gluck,Adriano Celentano,Il ragazzo della via gluck,2020-11-20,/Users/alex/Music/Musica/Music/Adriano Celentano/Il ragazzo della via gluck/Il ragazzo della via gluck.mp3,39,256,unknown,0,e60540527fddbaa78cda177c8e54e87b714edf44c84653deed459ee03cb57c62
10726,Gelosia,Adriano Celentano,Unicamentecelentano,2024-05-30,/Users/alex/Music/Musica/Music/Adriano Celentano/Unicamentecelentano/2-06 Gelosia.mp3,35,271,unknown,1,d2ab042896bbd031fb3bb2d7fb7f3a864165394430040ff03e1e168d81d8a181
8854,Girls Gone Wild,Adua Blaize,Supressor,2022-02-19,/Users/alex/Music/Musica/Music/Adua Blaize/Supressor/Girls Gone Wild.mp3,51,121,unknown,1,8fe07b18eb8aa9a34fa2053d09bd27781995db3d43c5e6221443f56030fd2f4e
5424,Drop It,Aero Chord,,2020-11-20,/Users/alex/Music/Musica/Music/Aero Chord/Unknown Album/Drop It.mp3,62,188,unknown,0,1b7418fccb7096ea87097629a1dfb7f7c2bcdc473300f65abb49f88c218efc50
5540,4U,Aero Chord,,2020-11-20,/Users/alex/Music/Musica/Music/Aero Chord/Unknown Album/4U.mp3,60,183,unknown,0,6614c8561ac06836ce79fa199f9ec0dd7209c3d715c88bbde59b5e5f619af388
9536,Dream On,Aerosmith,Aerosmith,2023-03-13,/Users/alex/Music/Musica/Music/Aerosmith/Aerosmith/Dream On.mp3,6,268,unknown,0,e529d5864d56b4afc51507333a3c53949ef89e7f66c6caaee406b2a38336ee90
8066,FIGHT!,Aests,,2021-04-19,/Users/alex/Music/Musica/Music/Aests/Unknown Album/FIGHT!.mp3,23,122,unknown,0,a8a301409b9343bd3e9c3a074ebb978887dc5e54cb8510d54968b546beb9a81b
